1.000142;0.001779;0
0.998625;0.002208;0
0.994081;0.003484;0
0.986535;0.005584;0
0.976027;0.008468;0
0.962616;0.012081;0
0.946375;0.016356;0
0.927395;0.021218;0
0.905782;0.026581;0
0.881658;0.032353;0
0.855162;0.038440;0
0.826448;0.044743;0
0.795683;0.051164;0
0.763049;0.057602;0
0.728742;0.063960;0
0.692966;0.070137;0
0.655941;0.076039;0
0.617893;0.081568;0
0.579057;0.086631;0
0.539677;0.091137;0
0.500000;0.094999;0
0.460279;0.098133;0
0.420770;0.100464;0
0.381727;0.101926;0
0.343406;0.102462;0
0.306057;0.102031;0
0.269927;0.100607;0
0.235255;0.098180;0
0.202267;0.094762;0
0.171181;0.090379;0
0.142199;0.085081;0
0.115509;0.078932;0
0.091278;0.072010;0
0.069659;0.064406;0
0.050783;0.056218;0
0.034763;0.047545;0
0.021689;0.038486;0
0.011634;0.029132;0
0.004649;0.019560;0
0.000767;0.009834;0
0.000000;0.000000;0
0.002316;-0.009588;0
0.007663;-0.018581;0
0.015996;-0.026952;0
0.027255;-0.034667;0
0.041358;-0.041687;0
0.058210;-0.047973;0
0.077701;-0.053486;0
0.099705;-0.058190;0
0.124085;-0.062060;0
0.150694;-0.065081;0
0.179371;-0.067251;0
0.209948;-0.068581;0
0.242247;-0.069101;0
0.276082;-0.068851;0
0.311259;-0.067889;0
0.347577;-0.066282;0
0.384828;-0.064105;0
0.422796;-0.061443;0
0.461262;-0.058379;0
0.500000;-0.054999;0
0.538782;-0.051384;0
0.577377;-0.047610;0
0.615553;-0.043748;0
0.653076;-0.039858;0
0.689717;-0.035995;0
0.725249;-0.032204;0
0.759449;-0.028522;0
0.792102;-0.024983;0
0.823000;-0.021614;0
0.851945;-0.018440;0
0.878748;-0.015482;0
0.903235;-0.012761;0
0.925245;-0.010298;0
0.944631;-0.008112;0
0.961263;-0.006223;0
0.975029;-0.004648;0
0.985835;-0.003404;0
0.993608;-0.002505;0
0.998292;-0.001961;0
0.999858;-0.001779;0
